Generator,Date,Hour,Horizon [hr],Total Wind Generation [MW],Total Power Output [MW],Wind Power Output [MW],Wind Curtailment [MW],Battery Power Output [MW],Wind Power to Battery [MW],State of Charge [MWh],Wind Power to PEM [MW],PEM H2 Output [kg],Tank H2 Input [kg],H2 Sales [kg],Turbine H2 Input [kg],Tank Holdup [kg],Turbine Power Output [MW],Total Cost [$]
317_WIND,2020-01-01,00:00:00,0,934.266,836.163,836.163,0.0,0.0,94.33,260.037,3.773,68.659,68.659,0.0,0.0,91247.147,0.0,7257.332
317_WIND,2020-01-01,01:00:00,0,917.675,819.572,819.572,0.0,0.0,94.33,349.651,3.773,68.659,68.659,0.0,0.0,91315.806,0.0,7257.332
317_WIND,2020-01-01,02:00:00,0,914.571,816.468,816.468,0.0,0.0,94.33,439.264,3.773,68.659,68.659,0.0,0.0,91384.464,0.0,7257.332
317_WIND,2020-01-01,03:00:00,0,875.42,777.317,777.317,0.0,0.0,94.33,528.878,3.773,68.659,68.659,0.0,0.0,91453.123,0.0,7257.332
317_WIND,2020-01-01,04:00:00,0,913.736,815.633,815.633,0.0,0.0,94.33,618.491,3.773,68.659,68.659,0.0,0.0,91521.781,0.0,7257.332
317_WIND,2020-01-01,05:00:00,0,926.03,827.927,827.927,0.0,0.0,94.33,708.105,3.773,68.659,68.659,0.0,0.0,91590.44,0.0,7257.332
317_WIND,2020-01-01,06:00:00,0,917.675,819.572,819.572,0.0,0.0,94.33,797.718,3.773,68.659,68.659,0.0,0.0,91659.098,0.0,7257.332
317_WIND,2020-01-01,07:00:00,0,937.37,891.427,891.427,0.0,0.0,42.17,837.78,3.773,68.659,68.659,0.0,0.0,91727.757,0.0,7257.332
317_WIND,2020-01-01,08:00:00,0,917.555,911.674,911.674,0.0,0.0,2.108,839.783,3.773,68.659,68.659,0.0,0.0,91796.415,0.0,7257.332
317_WIND,2020-01-01,09:00:00,0,870.764,866.886,866.886,0.0,0.0,0.105,839.883,3.773,68.659,68.659,0.0,0.0,91865.074,0.0,7257.332
317_WIND,2020-01-01,10:00:00,0,786.015,782.237,782.237,0.0,0.0,0.005,839.888,3.773,68.659,68.659,0.0,0.0,91933.732,0.0,7257.332
317_WIND,2020-01-01,11:00:00,0,591.332,587.559,587.559,0.0,0.0,0.0,839.888,3.773,68.659,68.659,0.0,0.0,92002.391,0.0,7257.332
317_WIND,2020-01-01,12:00:00,0,323.359,319.586,319.586,0.0,0.0,0.0,839.888,3.773,68.659,68.659,0.0,0.0,92071.049,0.0,7257.332
317_WIND,2020-01-01,13:00:00,0,63.502,59.729,59.729,0.0,0.0,0.0,839.888,3.773,68.659,68.659,0.0,0.0,92139.708,0.0,7257.332
317_WIND,2020-01-01,14:00:00,0,56.221,52.448,52.448,0.0,0.0,0.0,839.888,3.773,68.659,68.659,0.0,0.0,92208.366,0.0,7257.332
317_WIND,2020-01-01,15:00:00,0,113.038,109.265,109.265,0.0,0.0,0.0,839.888,3.773,68.659,68.659,0.0,0.0,92277.025,0.0,7257.332
317_WIND,2020-01-01,16:00:00,0,179.644,175.871,175.871,0.0,0.0,0.0,839.888,3.773,68.659,68.659,0.0,0.0,92345.683,0.0,7257.332
317_WIND,2020-01-01,17:00:00,0,137.508,133.735,133.735,0.0,0.0,0.0,839.888,3.773,68.659,68.659,0.0,0.0,92414.342,0.0,7257.332
317_WIND,2020-01-01,18:00:00,0,130.824,127.051,127.051,0.0,0.0,0.0,839.888,3.773,68.659,68.659,0.0,0.0,92483.0,0.0,7257.332
317_WIND,2020-01-01,19:00:00,0,255.321,251.548,251.548,0.0,0.0,0.0,839.888,3.773,68.659,68.659,0.0,0.0,92551.659,0.0,7257.332
317_WIND,2020-01-01,20:00:00,0,342.934,339.161,339.161,0.0,0.0,0.0,839.888,3.773,68.659,68.659,0.0,0.0,92620.317,0.0,7257.332
317_WIND,2020-01-01,21:00:00,0,460.628,456.855,456.855,0.0,0.0,0.0,839.888,3.773,68.659,68.659,0.0,0.0,92688.976,0.0,7257.332
317_WIND,2020-01-01,22:00:00,0,328.969,325.196,325.196,0.0,0.0,0.0,839.888,3.773,68.659,68.659,0.0,0.0,92757.634,0.0,7257.332
317_WIND,2020-01-01,23:00:00,0,472.206,468.433,468.433,0.0,0.0,0.0,839.888,3.773,68.659,68.659,0.0,0.0,92826.293,0.0,7257.332
317_WIND,2020-01-02,00:00:00,0,590.019,586.246,586.246,0.0,0.0,0.0,839.888,3.773,68.659,68.659,0.0,0.0,92894.951,0.0,7257.332
317_WIND,2020-01-02,01:00:00,0,334.459,330.686,330.686,0.0,0.0,0.0,839.888,3.773,68.659,68.659,0.0,0.0,92963.61,0.0,7257.332
317_WIND,2020-01-02,02:00:00,0,279.79,276.017,276.017,0.0,0.0,0.0,839.888,3.773,68.659,68.659,0.0,0.0,93032.268,0.0,7257.332
317_WIND,2020-01-02,03:00:00,0,210.32,206.547,206.547,0.0,0.0,0.0,839.888,3.773,68.659,68.659,0.0,0.0,93100.927,0.0,7257.332
317_WIND,2020-01-02,04:00:00,0,327.059,323.286,323.286,0.0,0.0,0.0,839.888,3.773,68.659,68.659,0.0,0.0,93169.585,0.0,7257.332
317_WIND,2020-01-02,05:00:00,0,637.526,633.753,633.753,0.0,0.0,0.0,839.888,3.773,68.659,68.659,0.0,0.0,93238.244,0.0,7257.332
317_WIND,2020-01-02,06:00:00,0,755.816,752.043,752.043,0.0,0.0,0.0,839.888,3.773,68.659,68.659,0.0,0.0,93306.902,0.0,7257.332
317_WIND,2020-01-02,07:00:00,0,695.776,692.003,692.003,0.0,0.0,0.0,839.888,3.773,68.659,68.659,0.0,0.0,93375.561,0.0,7257.332
317_WIND,2020-01-02,08:00:00,0,779.45,775.677,775.677,0.0,0.0,0.0,839.888,3.773,68.659,68.659,0.0,0.0,93444.219,0.0,7257.332
317_WIND,2020-01-02,09:00:00,0,849.517,845.744,845.744,0.0,0.0,0.0,839.888,3.773,68.659,68.659,0.0,0.0,93512.878,0.0,7257.332
317_WIND,2020-01-02,10:00:00,0,880.672,876.899,876.899,0.0,0.0,0.0,839.888,3.773,68.659,68.659,0.0,0.0,93581.536,0.0,7257.332
317_WIND,2020-01-02,11:00:00,0,748.296,744.523,744.523,0.0,0.0,0.0,839.888,3.773,68.659,68.659,0.0,0.0,93650.195,0.0,7257.332
317_WIND,2020-01-02,12:00:00,0,623.56,619.787,619.787,0.0,0.0,0.0,839.888,3.773,68.659,68.659,0.0,0.0,93718.853,0.0,7257.332
317_WIND,2020-01-02,13:00:00,0,532.485,528.712,528.712,0.0,0.0,0.0,839.888,3.773,68.659,68.659,0.0,0.0,93787.512,0.0,7257.332
317_WIND,2020-01-02,14:00:00,0,705.683,701.91,701.91,0.0,0.0,0.0,839.888,3.773,68.659,68.659,0.0,0.0,93856.17,0.0,7257.332
317_WIND,2020-01-02,15:00:00,0,727.885,724.112,724.112,0.0,0.0,0.0,839.888,3.773,68.659,68.659,0.0,0.0,93924.829,0.0,7257.332
317_WIND,2020-01-02,16:00:00,0,680.855,677.082,677.082,0.0,0.0,0.0,839.888,3.773,68.659,68.659,0.0,0.0,93993.487,0.0,7257.332
317_WIND,2020-01-02,17:00:00,0,727.527,723.754,723.754,0.0,0.0,0.0,839.888,3.773,68.659,68.659,0.0,0.0,94062.146,0.0,7257.332
317_WIND,2020-01-02,18:00:00,0,847.369,843.596,843.596,0.0,0.0,0.0,839.888,3.773,68.659,68.659,0.0,0.0,94130.804,0.0,7257.332
317_WIND,2020-01-02,19:00:00,0,846.653,842.88,842.88,0.0,0.0,0.0,839.888,3.773,68.659,68.659,0.0,0.0,94199.463,0.0,7257.332
317_WIND,2020-01-02,20:00:00,0,839.013,835.24,835.24,0.0,0.0,0.0,839.888,3.773,68.659,68.659,0.0,0.0,94268.121,0.0,7257.332
317_WIND,2020-01-02,21:00:00,0,864.915,861.142,861.142,0.0,0.0,0.0,839.888,3.773,68.659,68.659,0.0,0.0,94336.78,0.0,7257.332
317_WIND,2020-01-02,22:00:00,0,890.101,886.328,886.328,0.0,0.0,0.0,839.888,3.773,68.659,68.659,0.0,0.0,94405.438,0.0,7257.332
317_WIND,2020-01-02,23:00:00,0,829.703,825.93,825.93,0.0,0.0,0.0,839.888,3.773,68.659,68.659,0.0,0.0,94474.097,0.0,7257.332
317_WIND,2020-01-03,00:00:00,0,836.507,832.734,832.734,0.0,0.0,0.0,839.888,3.773,68.659,68.659,0.0,0.0,94542.755,0.0,7257.332
317_WIND,2020-01-03,01:00:00,0,820.751,816.978,816.978,0.0,0.0,0.0,839.888,3.773,68.659,68.659,0.0,0.0,94611.414,0.0,7257.332
317_WIND,2020-01-03,02:00:00,0,720.723,716.95,716.95,0.0,0.0,0.0,839.888,3.773,68.659,68.659,0.0,0.0,94680.072,0.0,7257.332
317_WIND,2020-01-03,03:00:00,0,784.822,781.049,781.049,0.0,0.0,0.0,839.888,3.773,68.659,68.659,0.0,0.0,94748.731,0.0,7257.332
317_WIND,2020-01-03,04:00:00,0,710.816,707.043,707.043,0.0,0.0,0.0,839.888,3.773,68.659,68.659,0.0,0.0,94817.389,0.0,7257.332
317_WIND,2020-01-03,05:00:00,0,800.22,796.447,796.447,0.0,0.0,0.0,839.888,3.773,68.659,68.659,0.0,0.0,94886.048,0.0,7257.332
317_WIND,2020-01-03,06:00:00,0,651.492,647.719,647.719,0.0,0.0,0.0,839.888,3.773,68.659,68.659,0.0,0.0,94954.706,0.0,7257.332
317_WIND,2020-01-03,07:00:00,0,726.333,722.56,722.56,0.0,0.0,0.0,839.888,3.773,68.659,68.659,0.0,0.0,95023.365,0.0,7257.332
317_WIND,2020-01-03,08:00:00,0,618.308,614.535,614.535,0.0,0.0,0.0,839.888,3.773,68.659,68.659,0.0,0.0,95092.023,0.0,7257.332
317_WIND,2020-01-03,09:00:00,0,659.25,655.477,655.477,0.0,0.0,0.0,839.888,3.773,68.659,68.659,0.0,0.0,95160.682,0.0,7257.332
317_WIND,2020-01-03,10:00:00,0,627.022,623.249,623.249,0.0,0.0,0.0,839.888,3.773,68.659,68.659,0.0,0.0,95229.34,0.0,7257.332
317_WIND,2020-01-03,11:00:00,0,505.151,501.378,501.378,0.0,0.0,0.0,839.888,3.773,68.659,68.659,0.0,0.0,95297.999,0.0,7257.332
317_WIND,2020-01-03,12:00:00,0,345.202,341.429,341.429,0.0,0.0,0.0,839.888,3.773,68.659,68.659,0.0,0.0,95366.657,0.0,7257.332
317_WIND,2020-01-03,13:00:00,0,330.878,327.105,327.105,0.0,0.0,0.0,839.888,3.773,68.659,68.659,0.0,0.0,95435.316,0.0,7257.332
317_WIND,2020-01-03,14:00:00,0,330.64,326.867,326.867,0.0,0.0,0.0,839.888,3.773,68.659,68.659,0.0,0.0,95503.974,0.0,7257.332
317_WIND,2020-01-03,15:00:00,0,310.706,306.933,306.933,0.0,0.0,0.0,839.888,3.773,68.659,68.659,0.0,0.0,95572.633,0.0,7257.332
317_WIND,2020-01-03,16:00:00,0,488.798,485.025,485.025,0.0,0.0,0.0,839.888,3.773,68.659,68.659,0.0,0.0,95641.291,0.0,7257.332
317_WIND,2020-01-03,17:00:00,0,673.216,669.443,669.443,0.0,0.0,0.0,839.888,3.773,68.659,68.659,0.0,0.0,95709.95,0.0,7257.332
317_WIND,2020-01-03,18:00:00,0,693.508,689.735,689.735,0.0,0.0,0.0,839.888,3.773,68.659,68.659,0.0,0.0,95778.608,0.0,7257.332
317_WIND,2020-01-03,19:00:00,0,452.75,448.977,448.977,0.0,0.0,0.0,839.888,3.773,68.659,68.659,0.0,0.0,95847.267,0.0,7257.332
317_WIND,2020-01-03,20:00:00,0,424.341,420.568,420.568,0.0,0.0,0.0,839.888,3.773,68.659,68.659,0.0,0.0,95915.925,0.0,7257.332
317_WIND,2020-01-03,21:00:00,0,329.924,326.151,326.151,0.0,0.0,0.0,839.888,3.773,68.659,68.659,0.0,0.0,95984.584,0.0,7257.332
317_WIND,2020-01-03,22:00:00,0,37.48,33.707,33.707,0.0,0.0,0.0,839.888,3.773,68.659,68.659,0.0,0.0,96053.242,0.0,7257.332
317_WIND,2020-01-03,23:00:00,0,8.236,6.9,6.9,0.0,0.0,0.0,839.888,1.336,24.314,24.314,0.0,0.0,96077.556,0.0,7254.165
317_WIND,2020-01-04,00:00:00,0,6.326,5.3,5.3,0.0,0.0,0.0,839.888,1.026,18.676,18.676,0.0,0.0,96096.233,0.0,7253.762
317_WIND,2020-01-04,01:00:00,0,5.252,4.4,4.4,0.0,0.0,0.0,839.888,0.852,15.505,15.505,0.0,0.0,96111.738,0.0,7253.535
317_WIND,2020-01-04,02:00:00,0,7.401,6.2,6.2,0.0,0.0,0.0,839.888,1.201,21.848,21.848,0.0,0.0,96133.585,0.0,7253.988
317_WIND,2020-01-04,03:00:00,0,5.371,4.5,4.5,0.0,0.0,0.0,839.888,0.871,15.857,15.857,0.0,0.0,96149.443,0.0,7253.56
317_WIND,2020-01-04,04:00:00,0,7.878,6.6,6.6,0.0,0.0,0.0,839.888,1.278,23.257,23.257,0.0,0.0,96172.7,0.0,7254.089
317_WIND,2020-01-04,05:00:00,0,7.281,6.1,6.1,0.0,0.0,0.0,839.888,1.181,21.495,21.495,0.0,0.0,96194.195,0.0,7253.963
317_WIND,2020-01-04,06:00:00,0,8.714,7.3,7.3,0.0,0.0,0.0,839.888,1.414,25.724,25.724,0.0,0.0,96219.919,0.0,7254.265
317_WIND,2020-01-04,07:00:00,0,7.759,6.5,6.5,0.0,0.0,0.0,839.888,1.259,22.905,22.905,0.0,0.0,96242.824,0.0,7254.064
317_WIND,2020-01-04,08:00:00,0,5.133,4.3,4.3,0.0,0.0,0.0,839.888,0.833,15.152,15.152,0.0,0.0,96257.976,0.0,7253.51
317_WIND,2020-01-04,09:00:00,0,12.891,10.8,10.8,0.0,0.0,0.0,839.888,2.091,38.057,38.057,0.0,0.0,96296.034,0.0,7255.146
317_WIND,2020-01-04,10:00:00,0,226.196,222.423,222.423,0.0,0.0,0.0,839.888,3.773,68.659,68.659,0.0,0.0,96364.692,0.0,7257.332
317_WIND,2020-01-04,11:00:00,0,288.146,284.373,284.373,0.0,0.0,0.0,839.888,3.773,68.659,68.659,0.0,0.0,96433.351,0.0,7257.332
317_WIND,2020-01-04,12:00:00,0,696.97,693.197,693.197,0.0,0.0,0.0,839.888,3.773,68.659,68.659,0.0,0.0,96502.009,0.0,7257.332
317_WIND,2020-01-04,13:00:00,0,660.921,657.148,657.148,0.0,0.0,0.0,839.888,3.773,68.659,68.659,0.0,0.0,96570.668,0.0,7257.332
317_WIND,2020-01-04,14:00:00,0,712.964,709.191,709.191,0.0,0.0,0.0,839.888,3.773,68.659,68.659,0.0,0.0,96639.326,0.0,7257.332
317_WIND,2020-01-04,15:00:00,0,553.971,550.198,550.198,0.0,0.0,0.0,839.888,3.773,68.659,68.659,0.0,0.0,96707.985,0.0,7257.332
317_WIND,2020-01-04,16:00:00,0,570.801,567.028,567.028,0.0,0.0,0.0,839.888,3.773,68.659,68.659,0.0,0.0,96776.643,0.0,7257.332
317_WIND,2020-01-04,17:00:00,0,645.046,641.273,641.273,0.0,0.0,0.0,839.888,3.773,68.659,68.659,0.0,0.0,96845.302,0.0,7257.332
317_WIND,2020-01-04,18:00:00,0,468.983,465.21,465.21,0.0,0.0,0.0,839.888,3.773,68.659,68.659,0.0,0.0,96913.96,0.0,7257.332
317_WIND,2020-01-04,19:00:00,0,625.47,621.697,621.697,0.0,0.0,0.0,839.888,3.773,68.659,68.659,0.0,0.0,96982.619,0.0,7257.332
317_WIND,2020-01-04,20:00:00,0,886.282,882.509,882.509,0.0,0.0,0.0,839.888,3.773,68.659,68.659,0.0,0.0,97051.277,0.0,7257.332
317_WIND,2020-01-04,21:00:00,0,933.669,929.896,929.896,0.0,0.0,0.0,839.888,3.773,68.659,68.659,0.0,0.0,97119.936,0.0,7257.332
317_WIND,2020-01-04,22:00:00,0,928.895,925.122,925.122,0.0,0.0,0.0,839.888,3.773,68.659,68.659,0.0,0.0,97188.594,0.0,7257.332
317_WIND,2020-01-04,23:00:00,0,938.802,935.029,935.029,0.0,0.0,0.0,839.888,3.773,68.659,68.659,0.0,0.0,97257.253,0.0,7257.332
317_WIND,2020-01-05,00:00:00,0,934.982,931.209,931.209,0.0,0.0,0.0,839.888,3.773,68.659,68.659,0.0,0.0,97325.911,0.0,7257.332
317_WIND,2020-01-05,01:00:00,0,941.07,937.297,937.297,0.0,0.0,0.0,839.888,3.773,68.659,68.659,0.0,0.0,97394.57,0.0,7257.332
317_WIND,2020-01-05,02:00:00,0,937.131,933.358,933.358,0.0,0.0,0.0,839.888,3.773,68.659,68.659,0.0,0.0,97463.228,0.0,7257.332
317_WIND,2020-01-05,03:00:00,0,934.505,930.732,930.732,0.0,0.0,0.0,839.888,3.773,68.659,68.659,0.0,0.0,97531.887,0.0,7257.332
317_WIND,2020-01-05,04:00:00,0,933.669,929.896,929.896,0.0,0.0,0.0,839.888,3.773,68.659,68.659,0.0,0.0,97600.545,0.0,7257.332
317_WIND,2020-01-05,05:00:00,0,922.33,918.557,918.557,0.0,0.0,0.0,839.888,3.773,68.659,68.659,0.0,0.0,97669.204,0.0,7257.332
317_WIND,2020-01-05,06:00:00,0,940.115,936.342,936.342,0.0,0.0,0.0,839.888,3.773,68.659,68.659,0.0,0.0,97737.862,0.0,7257.332
317_WIND,2020-01-05,07:00:00,0,935.221,931.448,931.448,0.0,0.0,0.0,839.888,3.773,68.659,68.659,0.0,0.0,97806.521,0.0,7257.332
317_WIND,2020-01-05,08:00:00,0,936.534,932.761,932.761,0.0,0.0,0.0,839.888,3.773,68.659,68.659,0.0,0.0,97875.179,0.0,7257.332
317_WIND,2020-01-05,09:00:00,0,944.89,941.117,941.117,0.0,0.0,0.0,839.888,3.773,68.659,68.659,0.0,0.0,97943.838,0.0,7257.332
317_WIND,2020-01-05,10:00:00,0,937.25,933.477,933.477,0.0,0.0,0.0,839.888,3.773,68.659,68.659,0.0,0.0,98012.496,0.0,7257.332
317_WIND,2020-01-05,11:00:00,0,926.746,922.973,922.973,0.0,0.0,0.0,839.888,3.773,68.659,68.659,0.0,0.0,98081.155,0.0,7257.332
317_WIND,2020-01-05,12:00:00,0,928.298,924.525,924.525,0.0,0.0,0.0,839.888,3.773,68.659,68.659,0.0,0.0,98149.813,0.0,7257.332
317_WIND,2020-01-05,13:00:00,0,905.857,902.084,902.084,0.0,0.0,0.0,839.888,3.773,68.659,68.659,0.0,0.0,98218.472,0.0,7257.332
317_WIND,2020-01-05,14:00:00,0,886.401,882.628,882.628,0.0,0.0,0.0,839.888,3.773,68.659,68.659,0.0,0.0,98287.13,0.0,7257.332
317_WIND,2020-01-05,15:00:00,0,896.786,893.013,893.013,0.0,0.0,0.0,839.888,3.773,68.659,68.659,0.0,0.0,98355.789,0.0,7257.332
317_WIND,2020-01-05,16:00:00,0,920.301,916.528,916.528,0.0,0.0,0.0,839.888,3.773,68.659,68.659,0.0,0.0,98424.447,0.0,7257.332
317_WIND,2020-01-05,17:00:00,0,913.497,909.724,909.724,0.0,0.0,0.0,839.888,3.773,68.659,68.659,0.0,0.0,98493.106,0.0,7257.332
317_WIND,2020-01-05,18:00:00,0,915.287,911.514,911.514,0.0,0.0,0.0,839.888,3.773,68.659,68.659,0.0,0.0,98561.764,0.0,7257.332
317_WIND,2020-01-05,19:00:00,0,903.948,900.175,900.175,0.0,0.0,0.0,839.888,3.773,68.659,68.659,0.0,0.0,98630.423,0.0,7257.332
317_WIND,2020-01-05,20:00:00,0,932.118,928.345,928.345,0.0,0.0,0.0,839.888,3.773,68.659,68.659,0.0,0.0,98699.081,0.0,7257.332
317_WIND,2020-01-05,21:00:00,0,923.523,919.75,919.75,0.0,0.0,0.0,839.888,3.773,68.659,68.659,0.0,0.0,98767.74,0.0,7257.332
317_WIND,2020-01-05,22:00:00,0,835.194,831.421,831.421,0.0,0.0,0.0,839.888,3.773,68.659,68.659,0.0,0.0,98836.398,0.0,7257.332
317_WIND,2020-01-05,23:00:00,0,824.451,820.678,820.678,0.0,0.0,0.0,839.888,3.773,68.659,68.659,0.0,0.0,98905.057,0.0,7257.332
317_WIND,2020-01-06,00:00:00,0,724.781,721.008,721.008,0.0,0.0,0.0,839.888,3.773,68.659,68.659,0.0,0.0,98973.715,0.0,7257.332
317_WIND,2020-01-06,01:00:00,0,550.987,547.214,547.214,0.0,0.0,0.0,839.888,3.773,68.659,68.659,0.0,0.0,99042.374,0.0,7257.332
317_WIND,2020-01-06,02:00:00,0,782.554,778.781,778.781,0.0,0.0,0.0,839.888,3.773,68.659,68.659,0.0,0.0,99111.032,0.0,7257.332
317_WIND,2020-01-06,03:00:00,0,702.222,698.449,698.449,0.0,0.0,0.0,839.888,3.773,68.659,68.659,0.0,0.0,99179.691,0.0,7257.332
317_WIND,2020-01-06,04:00:00,0,679.781,676.008,676.008,0.0,0.0,0.0,839.888,3.773,68.659,68.659,0.0,0.0,99248.349,0.0,7257.332
317_WIND,2020-01-06,05:00:00,0,593.48,589.707,589.707,0.0,0.0,0.0,839.888,3.773,68.659,68.659,0.0,0.0,99317.008,0.0,7257.332
317_WIND,2020-01-06,06:00:00,0,685.272,681.499,681.499,0.0,0.0,0.0,839.888,3.773,68.659,68.659,0.0,0.0,99385.666,0.0,7257.332
317_WIND,2020-01-06,07:00:00,0,863.602,859.829,859.829,0.0,0.0,0.0,839.888,3.773,68.659,68.659,0.0,0.0,99454.325,0.0,7257.332
317_WIND,2020-01-06,08:00:00,0,897.86,894.087,894.087,0.0,0.0,0.0,839.888,3.773,68.659,68.659,0.0,0.0,99522.983,0.0,7257.332
317_WIND,2020-01-06,09:00:00,0,918.391,914.618,914.618,0.0,0.0,0.0,839.888,3.773,68.659,68.659,0.0,0.0,99591.642,0.0,7257.332
317_WIND,2020-01-06,10:00:00,0,889.624,885.851,885.851,0.0,0.0,0.0,839.888,3.773,68.659,68.659,0.0,0.0,99660.3,0.0,7257.332
317_WIND,2020-01-06,11:00:00,0,849.637,845.864,845.864,0.0,0.0,0.0,839.888,3.773,68.659,68.659,0.0,0.0,99728.959,0.0,7257.332
317_WIND,2020-01-06,12:00:00,0,774.437,770.664,770.664,0.0,0.0,0.0,839.888,3.773,68.659,68.659,0.0,0.0,99797.617,0.0,7257.332
317_WIND,2020-01-06,13:00:00,0,760.471,756.698,756.698,0.0,0.0,0.0,839.888,3.773,68.659,68.659,0.0,0.0,99866.276,0.0,7257.332
317_WIND,2020-01-06,14:00:00,0,830.419,826.646,826.646,0.0,0.0,0.0,839.888,3.773,68.659,68.659,0.0,0.0,99934.934,0.0,7257.332
317_WIND,2020-01-06,15:00:00,0,745.79,742.017,742.017,0.0,0.0,0.0,839.888,3.773,68.659,68.659,0.0,0.0,100003.593,0.0,7257.332
317_WIND,2020-01-06,16:00:00,0,797.116,793.343,793.343,0.0,0.0,0.0,839.888,3.773,68.659,68.659,0.0,0.0,100072.251,0.0,7257.332
317_WIND,2020-01-06,17:00:00,0,793.894,790.121,790.121,0.0,0.0,0.0,839.888,3.773,68.659,68.659,0.0,0.0,100140.91,0.0,7257.332
317_WIND,2020-01-06,18:00:00,0,739.344,735.571,735.571,0.0,0.0,0.0,839.888,3.773,68.659,68.659,0.0,0.0,100209.568,0.0,7257.332
317_WIND,2020-01-06,19:00:00,0,765.604,761.831,761.831,0.0,0.0,0.0,839.888,3.773,68.659,68.659,0.0,0.0,100278.227,0.0,7257.332
317_WIND,2020-01-06,20:00:00,0,819.199,815.426,815.426,0.0,0.0,0.0,839.888,3.773,68.659,68.659,0.0,0.0,100346.885,0.0,7257.332
317_WIND,2020-01-06,21:00:00,0,859.902,856.129,856.129,0.0,0.0,0.0,839.888,3.773,68.659,68.659,0.0,0.0,100415.544,0.0,7257.332
317_WIND,2020-01-06,22:00:00,0,920.897,917.124,917.124,0.0,0.0,0.0,839.888,3.773,68.659,68.659,0.0,0.0,100484.202,0.0,7257.332
317_WIND,2020-01-06,23:00:00,0,941.667,937.894,937.894,0.0,0.0,0.0,839.888,3.773,68.659,68.659,0.0,0.0,100552.861,0.0,7257.332
317_WIND,2020-01-07,00:00:00,0,932.714,928.941,928.941,0.0,0.0,0.0,839.888,3.773,68.659,68.659,0.0,0.0,100621.519,0.0,7257.332
317_WIND,2020-01-07,01:00:00,0,940.234,936.461,936.461,0.0,0.0,0.0,839.888,3.773,68.659,68.659,0.0,0.0,100690.178,0.0,7257.332
317_WIND,2020-01-07,02:00:00,0,942.025,938.252,938.252,0.0,0.0,0.0,839.888,3.773,68.659,68.659,0.0,0.0,100758.836,0.0,7257.332
317_WIND,2020-01-07,03:00:00,0,938.325,934.552,934.552,0.0,0.0,0.0,839.888,3.773,68.659,68.659,0.0,0.0,100827.495,0.0,7257.332
317_WIND,2020-01-07,04:00:00,0,937.608,933.835,933.835,0.0,0.0,0.0,839.888,3.773,68.659,68.659,0.0,0.0,100896.153,0.0,7257.332
317_WIND,2020-01-07,05:00:00,0,939.28,935.507,935.507,0.0,0.0,0.0,839.888,3.773,68.659,68.659,0.0,0.0,100964.812,0.0,7257.332
317_WIND,2020-01-07,06:00:00,0,938.205,934.432,934.432,0.0,0.0,0.0,839.888,3.773,68.659,68.659,0.0,0.0,101033.47,0.0,7257.332
317_WIND,2020-01-07,07:00:00,0,934.505,930.732,930.732,0.0,0.0,0.0,839.888,3.773,68.659,68.659,0.0,0.0,101102.129,0.0,7257.332
317_WIND,2020-01-07,08:00:00,0,944.173,940.4,940.4,0.0,0.0,0.0,839.888,3.773,68.659,68.659,0.0,0.0,101170.787,0.0,7257.332
317_WIND,2020-01-07,09:00:00,0,940.115,936.342,936.342,0.0,0.0,0.0,839.888,3.773,68.659,68.659,0.0,0.0,101239.446,0.0,7257.332
317_WIND,2020-01-07,10:00:00,0,906.454,902.681,902.681,0.0,0.0,0.0,839.888,3.773,68.659,68.659,0.0,0.0,101308.104,0.0,7257.332
317_WIND,2020-01-07,11:00:00,0,865.632,861.859,861.859,0.0,0.0,0.0,839.888,3.773,68.659,68.659,0.0,0.0,101376.763,0.0,7257.332
317_WIND,2020-01-07,12:00:00,0,895.592,891.819,891.819,0.0,0.0,0.0,839.888,3.773,68.659,68.659,0.0,0.0,101445.421,0.0,7257.332
317_WIND,2020-01-07,13:00:00,0,918.749,914.976,914.976,0.0,0.0,0.0,839.888,3.773,68.659,68.659,0.0,0.0,101514.08,0.0,7257.332
317_WIND,2020-01-07,14:00:00,0,916.6,912.827,912.827,0.0,0.0,0.0,839.888,3.773,68.659,68.659,0.0,0.0,101582.738,0.0,7257.332
317_WIND,2020-01-07,15:00:00,0,858.828,855.055,855.055,0.0,0.0,0.0,839.888,3.773,68.659,68.659,0.0,0.0,101651.397,0.0,7257.332
317_WIND,2020-01-07,16:00:00,0,798.787,795.014,795.014,0.0,0.0,0.0,839.888,3.773,68.659,68.659,0.0,0.0,101720.055,0.0,7257.332
317_WIND,2020-01-07,17:00:00,0,746.148,742.375,742.375,0.0,0.0,0.0,839.888,3.773,68.659,68.659,0.0,0.0,101788.714,0.0,7257.332
317_WIND,2020-01-07,18:00:00,0,797.594,793.821,793.821,0.0,0.0,0.0,839.888,3.773,68.659,68.659,0.0,0.0,101857.372,0.0,7257.332
317_WIND,2020-01-07,19:00:00,0,692.434,688.661,688.661,0.0,0.0,0.0,839.888,3.773,68.659,68.659,0.0,0.0,101926.031,0.0,7257.332
317_WIND,2020-01-07,20:00:00,0,585.722,581.949,581.949,0.0,0.0,0.0,839.888,3.773,68.659,68.659,0.0,0.0,101994.689,0.0,7257.332
317_WIND,2020-01-07,21:00:00,0,907.409,903.636,903.636,0.0,0.0,0.0,839.888,3.773,68.659,68.659,0.0,0.0,102063.348,0.0,7257.332
